Date,JPM,JPM_tradable,BAC,BAC_tradable,WFC,WFC_tradable,C,C_tradable,GS,GS_tradable,MS,MS_tradable,USB,USB_tradable,PNC,PNC_tradable,HSBA.L,HSBA.L_tradable,BARC.L,BARC.L_tradable,LLOY.L,LLOY.L_tradable,NWG.L,NWG.L_tradable,STAN.L,STAN.L_tradable,BNP.PA,BNP.PA_tradable,GLE.PA,GLE.PA_tradable,SAN.MC,SAN.MC_tradable,BBVA.MC,BBVA.MC_tradable,ISP.MI,ISP.MI_tradable,UCG.MI,UCG.MI_tradable,DBK.DE,DBK.DE_tradable,CBK.DE,CBK.DE_tradable,INGA.AS,INGA.AS_tradable,UBSG.SW,UBSG.SW_tradable,8316.T,8316.T_tradable,8308.T,8308.T_tradable
2000-01-04,22.2937126160,True,11.6229591370,True,9.0743083954,True,193.1030273438,True,57.1936569214,True,30.1007099152,True,8.2275333405,True,18.1627464294,True,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,8.7624577649,True,36.1846778357,True
2000-01-05,22.1560955048,True,11.7505159378,True,8.9827985764,True,200.8657989502,True,54.5153884888,True,29.0020275116,True,8.0458498001,True,18.2460594177,True,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,8.3473714614,True,35.0295601781,True
2000-01-06,22.4706478119,True,12.7549657822,True,9.3793249130,True,210.5695343018,True,56.8480758667,True,29.5588989258,True,8.6687536240,True,19.1069908142,True,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,8.3473441086,True,34.9220449607,True
2000-01-07,22.8834991455,True,12.4201507568,True,9.5470819473,True,209.5991973877,True,57.0640373230,True,30.4769687653,True,9.0061597824,True,19.1347579956,True,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,8.2792099360,True,36.0844613677,True
2000-01-08,22.8834991455,False,12.4201507568,False,9.5470819473,False,209.5991973877,False,57.0640373230,False,30.4769687653,False,9.0061597824,False,19.1347579956,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,8.2792099360,False,36.0844613677,False
2000-01-09,22.8834991455,False,12.4201507568,False,9.5470819473,False,209.5991973877,False,57.0640373230,False,30.4769687653,False,9.0061597824,False,19.1347579956,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,8.2792099360,False,36.0844613677,False
2000-01-10,22.4902915955,True,11.9896678925,True,9.2420644760,True,208.8714447021,True,58.3167533875,True,31.5549697876,True,8.9542560577,True,18.4682407379,True,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,8.2925937982,True,36.1427941631,True
2000-01-11,21.9594993591,True,11.7345705032,True,9.0895586014,True,206.2028961182,True,58.6191711426,True,31.5549697876,True,8.6168470383,True,18.2738323212,True,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,8.3748774529,True,34.1219233496,True
2000-01-12,22.0971145630,True,11.8621187210,True,9.3488245010,True,213.4806671143,True,58.3167533875,True,31.7965259552,True,9.0580711365,True,18.8691101074,True,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,8.0094644210,True,34.1136904347,True
2000-01-13,22.4313259125,True,12.1331634521,True,9.8673505783,True,215.9065551758,True,58.4032135010,True,31.9928169250,True,9.6550273895,True,20.5819282532,True,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,7.9561337818,True,33.3660706753,True
2000-01-14,23.2373752594,True,12.8825178146,True,10.1723747253,True,225.1250610352,True,59.1807441711,True,33.1704750061,True,9.6550273895,True,21.0031089783,True,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,8.3859511312,True,35.1401471473,True
2000-01-15,23.2373752594,False,12.8825178146,False,10.1723747253,False,225.1250610352,False,59.1807441711,False,33.1704750061,False,9.6550273895,False,21.0031089783,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,8.3859511312,False,35.1401471473,False
2000-01-16,23.2373752594,False,12.8825178146,False,10.1723747253,False,225.1250610352,False,59.1807441711,False,33.1704750061,False,9.6550273895,False,21.0031089783,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,8.3859511312,False,35.1401471473,False
2000-01-17,23.2373752594,False,12.8825178146,False,10.1723747253,False,225.1250610352,False,59.1807441711,False,33.1704750061,False,9.6550273895,False,21.0031089783,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,8.9488246795,True,34.3803817009,True
2000-01-18,22.3330364227,True,12.2447652817,True,9.4860763550,True,227.0657806396,True,60.0446968079,True,32.3098640442,True,9.7328891754,True,20.6380863190,True,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,8.7035344299,True,34.1298323201,True
2000-01-19,23.3160057068,True,12.2447652817,True,8.9675502777,True,231.9175872803,True,60.5198478699,True,32.7779159546,True,9.5512037277,True,20.3572921753,True,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,8.8571159829,True,33.0631620675,True
2000-01-20,23.2963371277,True,12.0095977783,True,8.8760452271,True,227.4902648926,True,59.4782600403,True,32.5665321350,True,9.2137994766,True,19.7676372528,True,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,8.9131348744,True,32.8844052864,True
2000-01-21,22.9424629211,True,11.6548509598,True,8.9370470047,True,219.0602722168,True,59.3051719666,True,32.0079116821,True,9.0061597824,True,19.7114791870,True,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,8.7513787441,True,31.8671446446,True
2000-01-22,22.9424629211,False,11.6548509598,False,8.9370470047,False,219.0602722168,False,59.3051719666,False,32.0079116821,False,9.0061597824,False,19.7114791870,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,8.7513787441,False,31.8671446446,False
2000-01-23,22.9424629211,False,11.6548509598,False,8.9370470047,False,219.0602722168,False,59.3051719666,False,32.0079116821,False,9.0061597824,False,19.7114791870,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,8.7513787441,False,31.8671446446,False
2000-01-24,22.9621334076,True,11.3678627014,True,8.7540369034,True,214.2083282471,True,56.5800514221,True,30.9208602905,True,8.9023437500,True,19.5149192810,True,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,8.5542818262,True,30.6114002533,True
2000-01-25,23.4732761383,True,11.5113573074,True,9.1810617447,True,216.8768615723,True,58.0507659912,True,31.2680950165,True,9.0321197510,True,19.7957267761,True,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,8.2669347040,True,29.9530492022,True
