Date,JPM,JPM_tradable,BAC,BAC_tradable,WFC,WFC_tradable,C,C_tradable,GS,GS_tradable,MS,MS_tradable,USB,USB_tradable,PNC,PNC_tradable,HSBA.L,HSBA.L_tradable,BARC.L,BARC.L_tradable,LLOY.L,LLOY.L_tradable,NWG.L,NWG.L_tradable,STAN.L,STAN.L_tradable,BNP.PA,BNP.PA_tradable,GLE.PA,GLE.PA_tradable,SAN.MC,SAN.MC_tradable,BBVA.MC,BBVA.MC_tradable,ISP.MI,ISP.MI_tradable,UCG.MI,UCG.MI_tradable,DBK.DE,DBK.DE_tradable,CBK.DE,CBK.DE_tradable,INGA.AS,INGA.AS_tradable,UBSG.SW,UBSG.SW_tradable,8316.T,8316.T_tradable,8308.T,8308.T_tradable
2000-01-04,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False
2000-01-05,-0.0061920425,True,0.0109147713,True,-0.0101356881,True,0.0394131512,True,-0.0479599798,True,-0.0371830150,True,-0.0223298484,True,0.0045765376,True,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,-0.0485297381,True,-0.0324434835,True
2000-01-06,0.0140972651,True,0.0820235197,True,0.0431963103,True,0.0471789096,True,0.0418993544,True,0.0190191049,True,0.0745686174,True,0.0461051449,True,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,-0.0000032768,True,-0.0030739910,True
2000-01-07,0.0182061736,True,-0.0266004542,True,0.0177277630,True,-0.0046188046,True,0.0037917252,True,0.0305864293,True,0.0381837404,True,0.0014521923,True,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,-0.0081958720,True,0.0327440491,True
2000-01-08,0.0000000000,False,0.0000000000,False,0.0000000000,False,0.0000000000,False,0.0000000000,False,0.0000000000,False,0.0000000000,False,0.0000000000,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,0.0000000000,False,0.0000000000,False
2000-01-09,0.0000000000,False,0.0000000000,False,0.0000000000,False,0.0000000000,False,0.0000000000,False,0.0000000000,False,0.0000000000,False,0.0000000000,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,0.0000000000,False,0.0000000000,False
2000-01-10,-0.0173323580,False,-0.0352749447,False,-0.0324702637,False,-0.0034781576,False,0.0217153182,False,0.0347598217,False,-0.0057798071,False,-0.0354539316,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,0.0016152575,False,0.0016152575,False
2000-01-11,-0.0238839129,True,-0.0215060410,True,-0.0166389405,True,-0.0128583489,True,0.0051723785,True,0.0000000000,True,-0.0384097115,True,-0.0105824312,True,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,0.0098736421,True,-0.0575375060,True
2000-01-12,0.0062472187,True,0.0108107929,True,0.0281242653,True,0.0346856597,True,-0.0051723785,True,0.0076259395,True,0.0499369536,True,0.0320560904,True,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,-0.0446125501,True,-0.0002413084,True
2000-01-13,0.0150114229,True,0.0225924628,True,0.0539807720,True,0.0112994227,True,0.0014814968,True,0.0061543694,True,0.0638225541,True,0.0868872224,True,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,-0.0066807190,True,-0.0221592471,True
2000-01-14,0.0353035248,True,0.0599286994,True,0.0304443002,True,0.0418103755,True,0.0132253076,True,0.0361487667,True,0.0000000000,True,0.0202570518,True,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,0.0526146452,True,0.0518047346,True
2000-01-15,0.0000000000,False,0.0000000000,False,0.0000000000,False,0.0000000000,False,0.0000000000,False,0.0000000000,False,0.0000000000,False,0.0000000000,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,0.0000000000,False,0.0000000000,False
2000-01-16,0.0000000000,False,0.0000000000,False,0.0000000000,False,0.0000000000,False,0.0000000000,False,0.0000000000,False,0.0000000000,False,0.0000000000,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,0.0000000000,False,0.0000000000,False
2000-01-17,0.0000000000,False,0.0000000000,False,0.0000000000,False,0.0000000000,False,0.0000000000,False,0.0000000000,False,0.0000000000,False,0.0000000000,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,0.0649643816,False,-0.0218581679,False
2000-01-18,-0.0396949488,False,-0.0507726624,False,-0.0698506091,False,0.0085836834,False,0.0144930101,False,-0.0262876012,False,0.0080320342,False,-0.0175322541,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,-0.0277930035,True,-0.0073142524,True
2000-01-19,0.0430730288,True,0.0000000000,True,-0.0562125396,True,0.0211423233,True,0.0078821435,True,0.0143824226,True,-0.0188435956,True,-0.0136990337,True,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,0.0174920023,True,-0.0317521158,True
2000-01-20,-0.0008439215,True,-0.0193923768,True,-0.0102564366,True,-0.0192746355,True,-0.0173605069,True,-0.0064698551,True,-0.0359648880,True,-0.0293930673,True,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,0.0063048156,True,-0.0054211922,True
2000-01-21,-0.0153066739,True,-0.0299836602,True,0.0068491215,True,-0.0377605382,True,-0.0029143491,True,-0.0173020271,True,-0.0227935399,True,-0.0028449524,True,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,-0.0183147586,True,-0.0314230114,True
2000-01-22,0.0000000000,False,0.0000000000,False,0.0000000000,False,0.0000000000,False,0.0000000000,False,0.0000000000,False,0.0000000000,False,0.0000000000,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,0.0000000000,False,0.0000000000,False
2000-01-23,0.0000000000,False,0.0000000000,False,0.0000000000,False,0.0000000000,False,0.0000000000,False,0.0000000000,False,0.0000000000,False,0.0000000000,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,0.0000000000,False,0.0000000000,False
2000-01-24,0.0008570160,False,-0.0249321717,False,-0.0206902676,False,-0.0223978696,False,-0.0470400445,False,-0.0345520659,False,-0.0115941787,False,-0.0100219015,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,-0.0227793027,False,-0.0402030337,False
2000-01-25,0.0220161029,True,0.0125438269,True,0.0476279020,True,0.0123806963,True,0.0256614287,True,0.0111672027,True,0.0144725005,True,0.0142868306,True,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,-0.0341681681,True,-0.0217413677,True
2000-01-26,0.0498265447,True,0.0433673027,True,0.0099170690,True,0.0394789249,True,0.0508460593,True,0.0262110291,True,0.0476948588,True,0.0252103751,True,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,0.0063591146,True,0.0135152553,True
2000-01-27,0.0282817651,True,0.0209980648,True,0.0259757765,True,0.0149418626,True,0.0084623364,True,0.0167912902,True,0.0136054902,True,0.0326563463,True,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,0.0019877449,True,0.0406952031,True
