block,train_start,validation_start,active_start,active_end,linear_transformed_feature_count,linear_lambda,linear_validation_rmse,linear_validation_mae,linear_validation_bias,linear_gamma,linear_mean_daily,linear_vol_daily,linear_sharpe_annualized,linear_cumulative_return,linear_max_drawdown,linear_n_days,linear_utility,linear_optimizer_failures,linear_mve_device,linear_allocation_method,polynomial_transformed_feature_count,polynomial_lambda,polynomial_coef0,polynomial_validation_rmse,polynomial_validation_mae,polynomial_validation_bias,polynomial_gamma,polynomial_mean_daily,polynomial_vol_daily,polynomial_sharpe_annualized,polynomial_cumulative_return,polynomial_max_drawdown,polynomial_n_days,polynomial_utility,polynomial_optimizer_failures,polynomial_mve_device,polynomial_allocation_method,gaussian_transformed_feature_count,gaussian_lambda,gaussian_kernel_gamma,gaussian_components,gaussian_validation_rmse,gaussian_validation_mae,gaussian_validation_bias,gaussian_gamma,gaussian_mean_daily,gaussian_vol_daily,gaussian_sharpe_annualized,gaussian_cumulative_return,gaussian_max_drawdown,gaussian_n_days,gaussian_utility,gaussian_optimizer_failures,gaussian_mve_device,gaussian_allocation_method
1,2003-01-01,2004-07-01,2005-01-03,2005-06-30,15,10.0,0.011468675492756191,0.007298616438504929,-0.0016908870397786006,0.01,0.0012128299026090167,0.0056864663618659255,3.3857718668082084,0.17362065471759933,-0.034730426326206376,132,0.0011643260530820676,0,cpu,constrained_regularized_mve,135,10.0,0.0,0.01444210059853966,0.010482255013852233,-0.005772098278407767,0.01,0.0013237461798916825,0.005778811592328302,3.6363565086094876,0.19092997765718295,-0.0336577087600497,132,0.0012736541847622406,0,cpu,constrained_regularized_mve,96,10.0,0.01,96,0.01139731716517527,0.0071952767966705,-0.0009652719632043856,0.01,0.001200662324944107,0.0056900412284078645,3.3496986677429677,0.1717371917550531,-0.03708391891782936,132,0.001152097471172635,0,cpu,constrained_regularized_mve
2,2003-07-01,2005-01-03,2005-07-01,2005-12-30,15,10.0,0.01197622398215559,0.007415351318767153,0.002708823312522567,1e-06,0.00037828361266559066,0.005622630943050472,1.0680171339375621,0.05000884299488785,-0.03637360132037759,129,0.0003308626445829677,0,cpu,constrained_regularized_mve,136,10.0,1.0,0.013325010628904477,0.009359063715613299,0.004919214988182385,1e-06,0.00011612763610607162,0.005818510742326515,0.31682833537808647,0.015093234634246125,-0.03864295588647182,129,6.534503521821804e-05,0,cpu,constrained_regularized_mve,96,10.0,0.01,96,0.011597887203223427,0.006883072920115513,0.0012741593875082212,1e-06,0.0003910889759890343,0.005490020359587492,1.1308418947761163,0.051744777457988,-0.035589502671983686,129,0.00034587849066600656,0,cpu,constrained_regularized_mve
3,2004-01-01,2005-07-01,2006-01-02,2006-06-30,15,10.0,0.012192134641978068,0.0073483743398707205,-0.00011537947929491948,0.001,0.0009719498786683738,0.005971842054936008,2.5836627715065803,0.1357865813341328,-0.03260491191891224,131,0.0009184555323747204,0,cpu,constrained_regularized_mve,136,10.0,1.0,0.013450953872974673,0.008691050684087348,-0.0025092830048308967,1e-06,0.0010767618603241141,0.005757201702211344,2.9689883221176325,0.1514889035360364,-0.03630669761969829,131,0.0010270438031641962,0,cpu,constrained_regularized_mve,96,1.0,0.01,96,0.012212630788799616,0.007426182494777772,-0.0003604052432738684,1e-06,0.0009619673288436607,0.005910852958963287,2.583511725795809,0.1343022680301943,-0.032808641061509936,131,0.0009095600547899331,0,cpu,constrained_regularized_mve
4,2004-07-01,2006-01-02,2006-07-03,2006-12-29,15,10.0,0.014878421293203898,0.009531224893271592,-0.0011935926316522301,1e-06,0.001815763198643276,0.009683455134273518,2.976659341182788,0.2662366275118958,-0.04782100478158813,130,0.0016751092436370438,0,cpu,constrained_regularized_mve,136,10.0,1.0,0.015794497403227727,0.010914680451478039,0.0012348872188374866,0.01,0.0015893026050906858,0.0094686486214197,2.6645192693611106,0.22950215898874685,-0.059352472944535384,130,0.001454819645016816,0,cpu,constrained_regularized_mve,96,1.0,0.01,96,0.014788321949826906,0.009484143022005417,-0.0009003472578161143,0.001,0.0016168933225844434,0.009584985475466934,2.677874247610777,0.2339200473529682,-0.05576342880141105,130,0.0014790854027370752,0,cpu,constrained_regularized_mve
5,2005-01-03,2006-07-03,2007-01-01,2007-06-29,15,10.0,0.011654823678570072,0.007192938593297071,0.00039388641012396173,0.0001,0.0011685295942040312,0.0064257539157662105,2.8867946825328508,0.16405412485732893,-0.049396093678495956,130,0.001106594124125054,0,cpu,constrained_regularized_mve,136,10.0,1.0,0.012071294418006195,0.007683522400694845,0.00013643391505011347,0.001,0.0011186599892012428,0.006793100028173043,2.614149169707438,0.15653191510658082,-0.05173088988640384,130,0.0010494406772120959,0,cpu,constrained_regularized_mve,96,10.0,0.1,96,0.011574024339562835,0.007153874707458077,-0.00019284078472759115,0.001,0.001076975125796495,0.006587089181267087,2.595448404582176,0.150281582042755,-0.040655285456206114,130,0.0010118905099735461,0,cpu,constrained_regularized_mve
6,2005-07-01,2007-01-01,2007-07-02,2007-12-31,15,10.0,0.012306208220009721,0.008245885795420606,0.00111141142538,0.001,0.0004948769695371343,0.007306776284473992,1.0751565450969336,0.06644853953497949,-0.06793289150363269,130,0.00041479350003010694,0,cpu,constrained_regularized_mve,135,10.0,0.0,0.013664379926142691,0.00899179798429794,0.0017498243413565297,0.01,0.00033338056772488266,0.0075613072801712315,0.6999123628698168,0.04429234457895721,-0.0838946213900289,130,0.00024762051604712695,0,cpu,constrained_regularized_mve,96,10.0,0.05,96,0.01212663944203193,0.008118115416246996,0.0011393675049257551,0.001,0.0005834015231578472,0.007168823963486473,1.2918732717950072,0.07879232514967689,-0.06440362952174195,130,0.0005063134676286604,0,cpu,constrained_regularized_mve
7,2006-01-02,2007-07-02,2008-01-01,2008-06-30,15,0.01,0.020141673337841996,0.013905381346656937,0.003057881696254834,0.01,-0.00044779578341600586,0.013979809516153248,-0.5084860189374438,-0.05697383259287027,-0.13980997411243234,131,-0.0007409483945778992,0,cpu,constrained_regularized_mve,136,10.0,1.0,0.026242883366490305,0.01844226911116593,-0.0003943667096523455,0.001,-0.0002117962567312256,0.014358859366365181,-0.2341523973294808,-0.027363943706844883,-0.13848132394996304,131,-0.0005210615201858052,0,cpu,constrained_regularized_mve,96,10.0,0.01,96,0.020247974361910902,0.013951386371367567,0.0014267512843606923,0.001,-0.00020770487350467301,0.014030011125938345,-0.23501140652990324,-0.026842499062811314,-0.14110272346984765,131,-0.0005029666917956036,0,cpu,constrained_regularized_mve
8,2006-07-03,2008-01-01,2008-07-01,2008-12-31,15,0.01,0.02608916929981581,0.017931811553863437,-0.0005156943735578574,0.0001,0.001421958143858362,0.019438740416404587,1.1612319140443825,0.20304345520081474,-0.15079518252675117,130,0.0008551612003938201,0,cpu,constrained_regularized_mve,136,10.0,1.0,0.04534387747878225,0.030916448217002967,-0.01511605955658323,0.001,0.0005719048056286957,0.01908283566211775,0.475752529473392,0.07718119524290346,-0.16455207329901245,130,2.5672880267606332e-05,0,cpu,constrained_regularized_mve,96,10.0,0.01,96,0.02641034190668216,0.01838834744337557,0.0014393541327625532,0.001,0.00036293932728417963,0.019545785672960364,0.2947685655821218,0.04831290262976423,-0.18013923474777582,130,-0.00021011727907577432,0,cpu,constrained_regularized_mve
9,2007-01-01,2008-07-01,2009-01-01,2009-06-30,15,10.0,0.056391948399132384,0.03739446735339595,0.007739849624649399,0.0001,-0.000422463022759567,0.038509789046946595,-0.17414773604391764,-0.05423874885155201,-0.4965410390048095,132,-0.0026469688014200588,0,cpu,constrained_regularized_mve,135,10.0,0.0,0.1449202797628669,0.08551568696016129,0.05675363650259714,0.001,-0.0003255700586262669,0.03853722769663848,-0.13411095622671745,-0.04206489916646242,-0.49626914867725846,132,-0.002553246936440107,0,cpu,constrained_regularized_mve,96,10.0,0.2,96,0.05618392195615718,0.03621286015826883,0.003177158573199697,0.001,-0.0010998589073672612,0.03576083326517782,-0.4882357954986309,-0.13513458674834988,-0.40790354472931656,132,-0.0030181147010970343,0,cpu,constrained_regularized_mve
10,2007-07-02,2009-01-01,2009-07-01,2009-12-31,15,10.0,0.05955529182949688,0.036566135259169255,-0.0020478508645934887,0.0001,0.00439720387746446,0.04027099876434248,1.73334284434798,0.7633921291206822,-0.3767110069859845,129,0.0019645738652479495,0,cpu,constrained_regularized_mve,135,10.0,0.0,0.06045541879481225,0.03979228529113738,-0.003025492271840383,1e-06,0.003902933817182751,0.03843919161953592,1.6118224908603207,0.6544662717680836,-0.42109205038503483,129,0.0016865766386376505,0,cpu,constrained_regularized_mve,96,10.0,0.05,96,0.059156486445532494,0.037727861393636444,-0.0012211964028489173,0.01,0.004638225128503783,0.0420631933595718,1.7504505817971787,0.8190802961447889,-0.36558417751536154,129,0.0019842567750966954,0,cpu,constrained_regularized_mve
