window,strategy,start,end,terminal_return,max_drawdown
2008_global_financial_crisis,equal_weight,2008-01-01,2009-03-31,-0.6094410501624596,-0.7517650144169378
2008_global_financial_crisis,linear,2008-01-01,2009-03-31,0.09082184282683481,-0.5760017147142094
2008_global_financial_crisis,polynomial,2008-01-01,2009-03-31,-0.1443158969828534,-0.6082036776433675
2008_global_financial_crisis,gaussian,2008-01-01,2009-03-31,-0.09818072168601732,-0.5932125386964968
2012_euro_stress,equal_weight,2011-07-01,2012-12-31,-0.08421552230740859,-0.4030883523435508
2012_euro_stress,linear,2011-07-01,2012-12-31,0.5882915314968138,-0.23069709815744088
2012_euro_stress,polynomial,2011-07-01,2012-12-31,0.711932678744768,-0.22875432843101284
2012_euro_stress,gaussian,2011-07-01,2012-12-31,0.6158864338309673,-0.220519684547149
2020_covid_shock,equal_weight,2020-02-01,2020-06-30,-0.2747748282597021,-0.4669385691656943
2020_covid_shock,linear,2020-02-01,2020-06-30,0.026300255517310633,-0.2699743487393754
2020_covid_shock,polynomial,2020-02-01,2020-06-30,0.0015818316835702895,-0.276467696843802
2020_covid_shock,gaussian,2020-02-01,2020-06-30,-0.11663210657143774,-0.28617352642590466
