Date,strategy,region,weight
2005-01-01,equal_weight,CH,0.04
2005-01-01,equal_weight,EU,0.36
2005-01-01,equal_weight,JP,0.08
2005-01-01,equal_weight,UK,0.2
2005-01-01,equal_weight,US,0.32
2005-01-02,equal_weight,CH,0.04
2005-01-02,equal_weight,EU,0.36
2005-01-02,equal_weight,JP,0.08
2005-01-02,equal_weight,UK,0.2
2005-01-02,equal_weight,US,0.32
2005-01-03,equal_weight,CH,0.0408554535394474
2005-01-03,equal_weight,EU,0.3564238417837423
2005-01-03,equal_weight,JP,0.0805148924532166
2005-01-03,equal_weight,UK,0.2001442898156955
2005-01-03,equal_weight,US,0.3220615224078971
2005-01-03,gaussian,CH,0.0415234914251526
2005-01-03,gaussian,EU,0.3607962041650881
2005-01-03,gaussian,JP,0.07025607565606021
2005-01-03,gaussian,UK,0.2101954635889057
2005-01-03,gaussian,US,0.3172287651647923
2005-01-03,linear,CH,0.038269359638284
2005-01-03,linear,EU,0.3771049871486205
2005-01-03,linear,JP,0.0701569084258537
2005-01-03,linear,UK,0.20604294441088922
2005-01-03,linear,US,0.3084258003763514
2005-01-03,polynomial,CH,0.0210280596845172
2005-01-03,polynomial,EU,0.3923196571220595
2005-01-03,polynomial,JP,0.07872597169752571
2005-01-03,polynomial,UK,0.2112328062770471
2005-01-03,polynomial,US,0.2966935052188492
2005-01-04,equal_weight,CH,0.04
2005-01-04,equal_weight,EU,0.36
2005-01-04,equal_weight,JP,0.08
2005-01-04,equal_weight,UK,0.2
2005-01-04,equal_weight,US,0.32
2005-01-04,gaussian,CH,0.0584067748231392
2005-01-04,gaussian,EU,0.4321369087909698
2005-01-04,gaussian,JP,0.1109083184535294
2005-01-04,gaussian,UK,0.0950736299387538
2005-01-04,gaussian,US,0.3034743679936066
2005-01-04,linear,CH,0.0525653619277695
2005-01-04,linear,EU,0.40204450931773
2005-01-04,linear,JP,0.1071218519050883
2005-01-04,linear,UK,0.1393351142950609
2005-01-04,linear,US,0.29893316255435
2005-01-04,polynomial,CH,0.0501435939983181
2005-01-04,polynomial,EU,0.3818315241125365
2005-01-04,polynomial,JP,0.1279996479391181
2005-01-04,polynomial,UK,0.1615168912894167
2005-01-04,polynomial,US,0.27850834266060953
2005-01-05,equal_weight,CH,0.04
2005-01-05,equal_weight,EU,0.36
2005-01-05,equal_weight,JP,0.08
2005-01-05,equal_weight,UK,0.2
2005-01-05,equal_weight,US,0.32
2005-01-05,gaussian,CH,0.0510272424295506
2005-01-05,gaussian,EU,0.3572158698289188
2005-01-05,gaussian,JP,0.1068361137175687
2005-01-05,gaussian,UK,0.2262945331374608
2005-01-05,gaussian,US,0.2586262408865
2005-01-05,linear,CH,0.0482809771629953
2005-01-05,linear,EU,0.3598120477430579
2005-01-05,linear,JP,0.1039401852273864
2005-01-05,linear,UK,0.2130592080766428
2005-01-05,linear,US,0.2749075817899167
2005-01-05,polynomial,CH,0.026475911462955
2005-01-05,polynomial,EU,0.31674034559563513
2005-01-05,polynomial,JP,0.0722362028347609
2005-01-05,polynomial,UK,0.2198733950925325
2005-01-05,polynomial,US,0.36467414501411544
2005-01-06,equal_weight,CH,0.04
2005-01-06,equal_weight,EU,0.36
2005-01-06,equal_weight,JP,0.08
2005-01-06,equal_weight,UK,0.2
2005-01-06,equal_weight,US,0.32
2005-01-06,gaussian,CH,0.0421807665349679
2005-01-06,gaussian,EU,0.3423706893993662
2005-01-06,gaussian,JP,0.07446502132217239
2005-01-06,gaussian,UK,0.2178253270641908
2005-01-06,gaussian,US,0.3231581956793015
2005-01-06,linear,CH,0.041433361062808
2005-01-06,linear,EU,0.3577116634487625
2005-01-06,linear,JP,0.07191564185960769
2005-01-06,linear,UK,0.2168727127000678
2005-01-06,linear,US,0.3120666209287527
2005-01-06,polynomial,CH,0.057057656427599
2005-01-06,polynomial,EU,0.2920167214208409
2005-01-06,polynomial,JP,0.0673686334496642
2005-01-06,polynomial,UK,0.2681312448124641
2005-01-06,polynomial,US,0.315425743889431
2005-01-07,equal_weight,CH,0.04
2005-01-07,equal_weight,EU,0.36
2005-01-07,equal_weight,JP,0.08
2005-01-07,equal_weight,UK,0.2
2005-01-07,equal_weight,US,0.32
2005-01-07,gaussian,CH,0.0437083073830177
2005-01-07,gaussian,EU,0.3693530848989298
2005-01-07,gaussian,JP,0.0790452335519633
2005-01-07,gaussian,UK,0.1955756370626296
2005-01-07,gaussian,US,0.31231773710345834
2005-01-07,linear,CH,0.0426787222064918
2005-01-07,linear,EU,0.3764765630215559
2005-01-07,linear,JP,0.0771727083945513
2005-01-07,linear,UK,0.19420441929658322
2005-01-07,linear,US,0.3094675870808166
2005-01-07,polynomial,CH,0.0362294590512585
2005-01-07,polynomial,EU,0.3958967689287042
2005-01-07,polynomial,JP,0.0615955605967469
2005-01-07,polynomial,UK,0.1617113029987144
2005-01-07,polynomial,US,0.3445669084245749
2005-01-08,equal_weight,CH,0.04
2005-01-08,equal_weight,EU,0.36
2005-01-08,equal_weight,JP,0.08
2005-01-08,equal_weight,UK,0.2
2005-01-08,equal_weight,US,0.32
2005-01-09,equal_weight,CH,0.04
2005-01-09,equal_weight,EU,0.36
2005-01-09,equal_weight,JP,0.08
2005-01-09,equal_weight,UK,0.2
2005-01-09,equal_weight,US,0.32
2005-01-10,equal_weight,CH,0.040115867106991
2005-01-10,equal_weight,EU,0.3606426028177274
2005-01-10,equal_weight,JP,0.0803816563306426
2005-01-10,equal_weight,UK,0.1993112231963594
2005-01-10,equal_weight,US,0.3195486505482785
2005-01-10,gaussian,CH,0.0410446114320714
2005-01-10,gaussian,EU,0.3560183301716414
2005-01-10,gaussian,JP,0.0721261823244809
2005-01-10,gaussian,UK,0.2158184424166119
2005-01-10,gaussian,US,0.314992433655193
2005-01-10,linear,CH,0.0389876840563674
2005-01-10,linear,EU,0.3419132183593354
2005-01-10,linear,JP,0.0699905117945347
2005-01-10,linear,UK,0.22709329855027122
2005-01-10,linear,US,0.3220152872394901
2005-01-10,polynomial,CH,0.0260014930526716
2005-01-10,polynomial,EU,0.3453884589618968
2005-01-10,polynomial,JP,0.02
2005-01-10,polynomial,UK,0.2415549871763678
2005-01-10,polynomial,US,0.367055060809063
2005-01-11,equal_weight,CH,0.04
2005-01-11,equal_weight,EU,0.36
2005-01-11,equal_weight,JP,0.08
2005-01-11,equal_weight,UK,0.2
2005-01-11,equal_weight,US,0.32
2005-01-11,gaussian,CH,0.0475861777400658
2005-01-11,gaussian,EU,0.4040409824506431
2005-01-11,gaussian,JP,0.0204287295297384
2005-01-11,gaussian,UK,0.2088557277647915
2005-01-11,gaussian,US,0.3190883825147605
2005-01-11,linear,CH,0.0446306480041455
2005-01-11,linear,EU,0.3835280175016609
2005-01-11,linear,JP,0.06761882406415651
2005-01-11,linear,UK,0.2037263118070278
2005-01-11,linear,US,0.3004961986230081
