model,block,Date,n_obs,parameter_count,adjusted_r2
linear,1,2005-01-03,3225,15,-0.0404194502413624
linear,2,2005-07-01,3275,15,0.01638816051559877
linear,3,2006-01-02,3250,15,0.029008023601726274
linear,4,2006-07-03,3250,15,0.002780421170440639
linear,5,2007-01-01,3250,15,-0.0134532412993007
linear,6,2007-07-02,3275,15,-0.024686848958878294
linear,7,2008-01-01,3250,15,0.04687812884975662
linear,8,2008-07-01,3300,15,-0.05008533800304504
linear,9,2009-01-01,3225,15,-0.010847519689164864
linear,10,2009-07-01,3300,15,-0.13770409390160188
linear,11,2010-01-01,3225,15,-0.018778128251702553
linear,12,2010-07-01,3300,15,-0.029338231093308575
linear,13,2011-01-03,3225,15,-0.060285304563576725
linear,14,2011-07-01,3275,15,-0.0021758806562024446
linear,15,2012-01-02,3250,15,-0.01569620454423326
linear,16,2012-07-02,3275,15,-0.022443892543781097
linear,17,2013-01-01,3225,15,0.01750072768437483
linear,18,2013-07-01,3300,15,-0.0873514083322815
linear,19,2014-01-01,3225,15,-0.044376995627611215
linear,20,2014-07-01,3300,15,-0.07994480834372908
linear,21,2015-01-01,3225,15,-0.05090091123112872
linear,22,2015-07-01,3300,15,-0.041161195525940775
linear,23,2016-01-01,3250,15,0.0022297714053698403
linear,24,2016-07-01,3275,15,-0.1978674711076589
linear,25,2017-01-02,3250,15,-0.027671653530945584
linear,26,2017-07-03,3250,15,-0.02842371517286435
linear,27,2018-01-01,3250,15,0.03990722524889323
linear,28,2018-07-02,3275,15,-0.03257570787989428
linear,29,2019-01-01,3225,15,-0.024310367385345755
linear,30,2019-07-01,3300,15,-0.03199509055129557
linear,31,2020-01-01,3250,15,-0.04732503437664648
linear,32,2020-07-01,3300,15,-0.09549754720293402
linear,33,2021-01-01,3225,15,-0.05748783613130959
linear,34,2021-07-01,3300,15,-0.05737061442912772
linear,35,2022-01-03,3225,15,-0.03525167165723575
linear,36,2022-07-01,3275,15,-0.17243328702994343
linear,37,2023-01-02,3250,15,-0.01795001538705754
linear,38,2023-07-03,3250,15,-0.02121910436635699
linear,39,2024-01-01,3250,15,0.010801239248086514
linear,40,2024-07-01,3300,15,-0.006755905854991084
linear,41,2025-01-02,3200,15,0.0025203681262887523
linear,42,2025-07-01,3275,15,0.01989861926654113
polynomial,1,2005-01-03,3225,135,-0.27121856230763
polynomial,2,2005-07-01,3275,136,-0.19649393369130985
polynomial,3,2006-01-02,3250,136,-0.07936603672090792
polynomial,4,2006-07-03,3250,136,-0.08241396403614076
polynomial,5,2007-01-01,3250,136,-0.22874753395648906
polynomial,6,2007-07-02,3275,135,-0.6667297209807033
polynomial,7,2008-01-01,3250,136,-1.1195308646730422
polynomial,8,2008-07-01,3300,136,-5.27995851062833
polynomial,9,2009-01-01,3225,135,-0.09121816311955544
polynomial,10,2009-07-01,3300,135,-0.38913214165258503
polynomial,11,2010-01-01,3225,136,-0.4394824557959254
polynomial,12,2010-07-01,3300,135,-1.9099440670553798
polynomial,13,2011-01-03,3225,135,-1.0335284307795063
polynomial,14,2011-07-01,3275,135,-0.8571348543753028
polynomial,15,2012-01-02,3250,135,-0.17067255831015848
polynomial,16,2012-07-02,3275,135,-0.1153442855379887
polynomial,17,2013-01-01,3225,135,-0.29565378886978744
polynomial,18,2013-07-01,3300,136,-0.5394168027276809
polynomial,19,2014-01-01,3225,136,-0.14240505378785562
polynomial,20,2014-07-01,3300,136,-0.18602732483242646
polynomial,21,2015-01-01,3225,135,-15.191216017239594
polynomial,22,2015-07-01,3300,135,-2.170797367702578
polynomial,23,2016-01-01,3250,136,-0.18554229514349108
polynomial,24,2016-07-01,3275,136,-0.44816643278985246
polynomial,25,2017-01-02,3250,135,-0.20333188643933564
polynomial,26,2017-07-03,3250,136,-0.2857101497588854
polynomial,27,2018-01-01,3250,135,-1.6953399633100483
polynomial,28,2018-07-02,3275,136,-0.22983386838519548
polynomial,29,2019-01-01,3225,136,-0.5385158796865102
polynomial,30,2019-07-01,3300,135,-0.4096714425836603
polynomial,31,2020-01-01,3250,136,-3.966462926815459
polynomial,32,2020-07-01,3300,136,-0.77892156403813
polynomial,33,2021-01-01,3225,135,-0.5105552682098746
polynomial,34,2021-07-01,3300,135,-0.21227536517400347
polynomial,35,2022-01-03,3225,135,-1.8744597917852088
polynomial,36,2022-07-01,3275,136,-1.0061432255988718
polynomial,37,2023-01-02,3250,135,-0.916351054048177
polynomial,38,2023-07-03,3250,135,-0.43834251395226254
