model,block,Date,n_obs,parameter_count,r2,r2_ci_low,r2_ci_high,adjusted_r2,rmse,mae,bias
linear,1,2005-01-03,3225,15,-0.03557878902746037,-0.05360966853920598,-0.017547909515714312,-0.0404194502413624,0.011853373368865602,0.007285049983056624,-0.0025514700194012485
linear,2,2005-07-01,3275,15,0.020894628931073966,0.009878769755753454,0.031910488106394255,0.01638816051559877,0.012172099183725183,0.007339670354024266,-7.766361972101455e-05
linear,3,2006-01-02,3250,15,0.033490904379188335,0.022870899677414153,0.04411090908096252,0.029008023601726274,0.014819067878073933,0.009437357233402315,0.0003682221419261408
linear,4,2006-07-03,3250,15,0.007384389678425696,-0.009767354916495052,0.024536134273346444,0.002780421170440639,0.011652156019910626,0.007167218796624441,-0.0003623799474699867
linear,5,2007-01-01,3250,15,-0.008774325134484062,-0.028183612055766347,0.010634961786798222,-0.0134532412993007,0.012270090106596685,0.008179675966722259,-0.0006568597401744647
linear,6,2007-07-02,3275,15,-0.019992193267252434,-0.040138155315175075,0.00015376878067021107,-0.024686848958878294,0.02018339942170747,0.014010080227347422,-0.0036597461599533624
linear,7,2008-01-01,3250,15,0.051278506832906356,0.04073325103698053,0.061823762628832185,0.04687812884975662,0.02613157182955032,0.017943239156741293,0.00045339990889566674
linear,8,2008-07-01,3300,15,-0.04531077599333133,-0.06580096953879565,-0.02482058244786701,-0.05008533800304504,0.0572012129297031,0.03835776101603848,-0.010916799080730764
linear,9,2009-01-01,3225,15,-0.006144445000784815,-0.014674660313251348,0.0023857703116817175,-0.010847519689164864,0.059532505516265107,0.03649671158509321,0.002276865739230161
linear,10,2009-07-01,3300,15,-0.1325311440960475,-0.15797474204528264,-0.10708754614681235,-0.13770409390160188,0.02536986893174593,0.01869162433947129,-0.007815141565036337
linear,11,2010-01-01,3225,15,-0.014038155570630817,-0.027726704490925427,-0.00034960665033620733,-0.018778128251702553,0.025747565534612153,0.01742217239027701,-0.0017514789490534705
linear,12,2010-07-01,3300,15,-0.024658002700947534,-0.03768537163762807,-0.011630633764266558,-0.029338231093308575,0.019410439984104532,0.013503472964520707,-0.0009444838380066452
