model,block,Date,n_obs,bias,rmse,mae
linear,1,2005-01-03,3225,-0.0025514700194012485,0.011853373368865602,0.007285049983056624
linear,2,2005-07-01,3275,-7.766361972101455e-05,0.012172099183725183,0.007339670354024266
linear,3,2006-01-02,3250,0.0003682221419261408,0.014819067878073933,0.009437357233402315
linear,4,2006-07-03,3250,-0.0003623799474699867,0.011652156019910626,0.007167218796624441
linear,5,2007-01-01,3250,-0.0006568597401744647,0.012270090106596685,0.008179675966722259
linear,6,2007-07-02,3275,-0.0036597461599533624,0.02018339942170747,0.014010080227347422
linear,7,2008-01-01,3250,0.00045339990889566674,0.02613157182955032,0.017943239156741293
linear,8,2008-07-01,3300,-0.010916799080730764,0.0572012129297031,0.03835776101603848
linear,9,2009-01-01,3225,0.002276865739230161,0.059532505516265107,0.03649671158509321
linear,10,2009-07-01,3300,-0.007815141565036337,0.02536986893174593,0.01869162433947129
linear,11,2010-01-01,3225,-0.0017514789490534705,0.025747565534612153,0.01742217239027701
linear,12,2010-07-01,3300,-0.0009444838380066452,0.019410439984104532,0.013503472964520707
linear,13,2011-01-03,3225,-0.001053212893037116,0.018097533190502453,0.012723542278741513
linear,14,2011-07-01,3275,-0.0038818680895935137,0.03474969616100059,0.02361667359650348
linear,15,2012-01-02,3250,0.00016474918627295884,0.02446135427738279,0.01631519843426928
linear,16,2012-07-02,3275,0.0034626552902435985,0.01965120026203318,0.012863969668107286
linear,17,2013-01-01,3225,-5.180309984414267e-05,0.017844024358138994,0.012180401931731168
linear,18,2013-07-01,3300,0.004401815480353971,0.01483780583130682,0.010139756821877345
linear,19,2014-01-01,3225,-0.002511354086863881,0.013310208912976554,0.009540970299663772
linear,20,2014-07-01,3300,0.0014551463817562603,0.014581839416466466,0.01017143407338065
linear,21,2015-01-01,3225,0.0010021764996332593,0.014784740814129095,0.010272027856241032
linear,22,2015-07-01,3300,-0.004036122203711462,0.01666936037976511,0.01182604268341449
linear,23,2016-01-01,3250,-0.001563503848749725,0.02771372750766354,0.017295367727505607
linear,24,2016-07-01,3275,0.00643702150005288,0.019517512681421736,0.013221277231462708
linear,25,2017-01-02,3250,-0.0008961766585939331,0.013332958743897921,0.00925676531104098
linear,26,2017-07-03,3250,-0.00186322774845084,0.010642514909050408,0.007508418440967651
linear,27,2018-01-01,3250,0.0003097322028278667,0.013326504482051896,0.009401672651034962
linear,28,2018-07-02,3275,0.0016808271928214838,0.014296775763170302,0.010031673888022896
linear,29,2019-01-01,3225,-0.0004252372658344986,0.014402155979961275,0.009625067096515581
linear,30,2019-07-01,3300,-0.003100830581787057,0.014757020288753305,0.009970039920150702
linear,31,2020-01-01,3250,-0.0079110804620479,0.036621624442278664,0.02434610946473311
linear,32,2020-07-01,3300,0.004526599235048557,0.02001951199504675,0.014253080526634628
linear,33,2021-01-01,3225,0.0013928908494787486,0.01695223708952793,0.011778093639741844
linear,34,2021-07-01,3300,0.0013052462253214166,0.01517300579447535,0.010164817628661319
linear,35,2022-01-03,3225,-0.0009552453704760967,0.023468085879972195,0.015536108556546897
linear,36,2022-07-01,3275,0.007095200922326491,0.019697810311215327,0.014459159103345531
linear,37,2023-01-02,3250,0.002164335574289182,0.018541544814981804,0.01216852937722812
linear,38,2023-07-03,3250,0.002966093135816419,0.015024630562475076,0.010041613983860158
linear,39,2024-01-01,3250,0.0009311698436094512,0.014262772387255922,0.00962094318396775
linear,40,2024-07-01,3300,-0.0008191668938427968,0.01667002202867351,0.010417740138189344
linear,41,2025-01-02,3200,0.000499854669375014,0.02005880366702905,0.013104576683632106
linear,42,2025-07-01,3275,0.0006119197658552568,0.013983165407134212,0.009607272377567033
polynomial,1,2005-01-03,3225,-0.0037395398429720048,0.012854995876198616,0.0087106335714827
polynomial,2,2005-07-01,3275,0.0025735966894324313,0.01317325651456269,0.008472477457216852
polynomial,3,2006-01-02,3250,0.0015495731900996596,0.015329111863712375,0.010223671379119581
polynomial,4,2006-07-03,3250,-0.00022738322513270954,0.011910421705005506,0.007553261416908393
polynomial,5,2007-01-01,3250,-0.0014670176393872618,0.013255520209716013,0.00885310640519018
polynomial,6,2007-07-02,3275,0.0002048679862340147,0.025262992963855504,0.017600134850585994
polynomial,7,2008-01-01,3250,0.016217746493038743,0.03823232779280897,0.02757449524099957
polynomial,8,2008-07-01,3300,-0.04750546050995483,0.13728381825059002,0.08042703811230051
polynomial,9,2009-01-01,3225,0.002768682807473581,0.06068637894613485,0.039404324033272396
polynomial,10,2009-07-01,3300,0.0039223877129637135,0.02751642485461528,0.020745527921104005
polynomial,11,2010-01-01,3225,-0.0031981498725942347,0.030022948495413378,0.021257195948151997
polynomial,12,2010-07-01,3300,0.020999008355832478,0.03203430542761072,0.025428935625454126
polynomial,13,2011-01-03,3225,-0.0021897197012337825,0.024589926500600615,0.015282398251271138
polynomial,14,2011-07-01,3275,-0.01711475985308164,0.04642524843693977,0.03299102290486824
polynomial,15,2012-01-02,3250,0.0011150119975774679,0.0257694766304796,0.01842664033486071
polynomial,16,2012-07-02,3275,-0.002183267539128952,0.020143145502402735,0.013829351561888274
polynomial,17,2013-01-01,3225,0.004704564073056239,0.020104592231213796,0.01476914369822928
polynomial,18,2013-07-01,3300,0.0007274051333383662,0.017326500519769677,0.012632428214055327
polynomial,19,2014-01-01,3225,0.0005538674971037517,0.013655891849877406,0.0098581430864228
polynomial,20,2014-07-01,3300,-0.0004128835264968772,0.014997086620193546,0.010470035811698008
polynomial,21,2015-01-01,3225,0.008331204928811037,0.0569372726620566,0.0173369841719038
polynomial,22,2015-07-01,3300,-0.01621364255511208,0.02855359904632031,0.020929566015516567
polynomial,23,2016-01-01,3250,-0.0019246771004796787,0.02963860443481485,0.0199037570476171
polynomial,24,2016-07-01,3275,0.005988292180319632,0.02105782984971341,0.014629068026213178
polynomial,25,2017-01-02,3250,-0.0023025276602815247,0.014157330000382355,0.01052664267640614
polynomial,26,2017-07-03,3250,-0.0017208398783197859,0.011674796374856024,0.008567800388636788
polynomial,27,2018-01-01,3250,-0.0023808113826006795,0.021910673162334925,0.014789076021659232
polynomial,28,2018-07-02,3275,-0.0012112165613019986,0.015310334087056333,0.010911486369534458
polynomial,29,2019-01-01,3225,0.004786613294783273,0.017314761142593994,0.011525995950165261
polynomial,30,2019-07-01,3300,-0.004923949337935841,0.016929162465349427,0.012008120288729105
polynomial,31,2020-01-01,3250,-0.042883212831255485,0.07824201271028713,0.04986568841684709
polynomial,32,2020-07-01,3300,0.010176422119879533,0.025036533857881675,0.018482932277762397
polynomial,33,2021-01-01,3225,0.0015051345042897644,0.01987841407742159,0.015031877903834378
polynomial,34,2021-07-01,3300,-0.0002226800449577708,0.015946864662020107,0.011479184304179909
polynomial,35,2022-01-03,3225,0.01680849656954362,0.03836691794244894,0.02779473927871496
polynomial,36,2022-07-01,3275,0.011969770323788034,0.02528361321930239,0.01969707996800648
polynomial,37,2023-01-02,3250,-0.0076640883134284675,0.02496373247670892,0.018132413308034168
polynomial,38,2023-07-03,3250,0.004382237181462026,0.017497048339781773,0.01290378092046599
polynomial,39,2024-01-01,3250,-0.0014447326913211006,0.014682283411207262,0.010580965049073594
polynomial,40,2024-07-01,3300,-0.002070528728256265,0.02576925036115195,0.013930063196319713
polynomial,41,2025-01-02,3200,-0.0037135604186684895,0.027031072837654,0.016655840743114946
