Date,strategy,rolling_return
2005-01-03,equal_weight,
2005-01-04,equal_weight,
2005-01-05,equal_weight,
2005-01-06,equal_weight,
2005-01-07,equal_weight,
2005-01-10,equal_weight,
2005-01-11,equal_weight,
2005-01-12,equal_weight,
2005-01-13,equal_weight,
2005-01-14,equal_weight,
2005-01-17,equal_weight,
2005-01-18,equal_weight,
2005-01-19,equal_weight,
2005-01-20,equal_weight,
2005-01-21,equal_weight,
2005-01-24,equal_weight,
2005-01-25,equal_weight,
2005-01-26,equal_weight,
2005-01-27,equal_weight,
2005-01-28,equal_weight,
2005-01-31,equal_weight,
2005-02-01,equal_weight,
2005-02-02,equal_weight,
2005-02-03,equal_weight,
2005-02-04,equal_weight,
2005-02-07,equal_weight,
2005-02-08,equal_weight,
2005-02-09,equal_weight,
2005-02-10,equal_weight,
2005-02-11,equal_weight,
2005-02-14,equal_weight,
2005-02-15,equal_weight,
2005-02-16,equal_weight,
2005-02-17,equal_weight,
2005-02-18,equal_weight,
2005-02-21,equal_weight,
2005-02-22,equal_weight,
2005-02-23,equal_weight,
2005-02-24,equal_weight,
2005-02-25,equal_weight,
2005-02-28,equal_weight,
2005-03-01,equal_weight,
2005-03-02,equal_weight,
2005-03-03,equal_weight,
2005-03-04,equal_weight,
2005-03-07,equal_weight,
2005-03-08,equal_weight,
2005-03-09,equal_weight,
2005-03-10,equal_weight,
2005-03-11,equal_weight,
2005-03-14,equal_weight,
2005-03-15,equal_weight,
2005-03-16,equal_weight,
2005-03-17,equal_weight,
2005-03-18,equal_weight,
2005-03-21,equal_weight,
2005-03-22,equal_weight,
2005-03-23,equal_weight,
2005-03-24,equal_weight,
2005-03-25,equal_weight,
2005-03-28,equal_weight,
2005-03-29,equal_weight,
2005-03-30,equal_weight,
2005-03-31,equal_weight,
2005-04-01,equal_weight,
2005-04-04,equal_weight,
2005-04-05,equal_weight,
2005-04-06,equal_weight,
2005-04-07,equal_weight,
2005-04-08,equal_weight,
2005-04-11,equal_weight,
2005-04-12,equal_weight,
2005-04-13,equal_weight,
2005-04-14,equal_weight,
2005-04-15,equal_weight,
2005-04-18,equal_weight,
2005-04-19,equal_weight,
2005-04-20,equal_weight,
2005-04-21,equal_weight,
2005-04-22,equal_weight,
2005-04-25,equal_weight,
2005-04-26,equal_weight,
2005-04-27,equal_weight,
2005-04-28,equal_weight,
2005-04-29,equal_weight,
2005-05-02,equal_weight,
2005-05-03,equal_weight,
2005-05-04,equal_weight,
2005-05-05,equal_weight,
2005-05-06,equal_weight,
2005-05-09,equal_weight,
2005-05-10,equal_weight,
2005-05-11,equal_weight,
2005-05-12,equal_weight,
2005-05-13,equal_weight,
2005-05-16,equal_weight,
2005-05-17,equal_weight,
2005-05-18,equal_weight,
2005-05-19,equal_weight,
2005-05-20,equal_weight,
2005-05-23,equal_weight,
2005-05-24,equal_weight,
2005-05-25,equal_weight,
2005-05-26,equal_weight,
2005-05-27,equal_weight,
2005-05-30,equal_weight,
2005-05-31,equal_weight,
2005-06-01,equal_weight,
2005-06-02,equal_weight,
2005-06-03,equal_weight,
2005-06-06,equal_weight,
2005-06-07,equal_weight,
2005-06-08,equal_weight,
2005-06-09,equal_weight,
2005-06-10,equal_weight,
2005-06-13,equal_weight,
2005-06-14,equal_weight,
2005-06-15,equal_weight,
2005-06-16,equal_weight,
2005-06-17,equal_weight,
2005-06-20,equal_weight,
2005-06-21,equal_weight,
2005-06-22,equal_weight,
2005-06-23,equal_weight,
2005-06-24,equal_weight,
2005-06-27,equal_weight,-0.08424938827069159
2005-06-28,equal_weight,-0.07929309908175215
2005-06-29,equal_weight,-0.07153955238630198
2005-06-30,equal_weight,-0.08107207950535289
2005-07-01,equal_weight,-0.08511708209715958
2005-07-04,equal_weight,-0.08964579782335094
2005-07-05,equal_weight,-0.08490175254052933
2005-07-06,equal_weight,-0.08783805800851617
2005-07-07,equal_weight,-0.10733523745357602
2005-07-08,equal_weight,-0.085050406223297
2005-07-11,equal_weight,-0.05848967463039447
2005-07-12,equal_weight,-0.042853002025508194
2005-07-13,equal_weight,-0.03872502981713775
2005-07-14,equal_weight,-0.02483357689548494
2005-07-15,equal_weight,-0.02854568138665409
2005-07-18,equal_weight,-0.03764935370869161
2005-07-19,equal_weight,-0.0356670923610983
2005-07-20,equal_weight,-0.026908124027981352
2005-07-21,equal_weight,-0.016986666405099115
2005-07-22,equal_weight,-0.025597545862804924
2005-07-25,equal_weight,-0.029701106070118236
2005-07-26,equal_weight,-0.03392878529788936
2005-07-27,equal_weight,-0.028166008666496052
2005-07-28,equal_weight,-0.01782770057929717
2005-07-29,equal_weight,-0.02847750366261796
2005-08-01,equal_weight,-0.020315218444276646
2005-08-02,equal_weight,-0.0061083369863353856
2005-08-03,equal_weight,0.008541366200212263
2005-08-04,equal_weight,-0.001965896575993632
2005-08-05,equal_weight,-0.009767153547837238
2005-08-08,equal_weight,-0.005997628873758087
2005-08-09,equal_weight,0.0066509321807358395
2005-08-10,equal_weight,0.026957199043582
2005-08-11,equal_weight,0.036689918649861854
2005-08-12,equal_weight,0.032575051916058806
2005-08-15,equal_weight,0.04702491301726613
2005-08-16,equal_weight,0.025770067116392358
2005-08-17,equal_weight,0.017152665615752738
2005-08-18,equal_weight,0.007093794344243536
2005-08-19,equal_weight,0.018072583812375732
2005-08-22,equal_weight,0.0310622231228778
2005-08-23,equal_weight,0.01828856503050838
2005-08-24,equal_weight,0.014552989985804402
2005-08-25,equal_weight,0.007551055105417538
2005-08-26,equal_weight,-0.004038252756106994
2005-08-29,equal_weight,-0.004028973682730132
2005-08-30,equal_weight,-0.00809910674645746
2005-08-31,equal_weight,0.010316932215324133
2005-09-01,equal_weight,0.028951071466667807
2005-09-02,equal_weight,0.030913857832821877
2005-09-05,equal_weight,0.04065569516383934
2005-09-06,equal_weight,0.05174620769594971
2005-09-07,equal_weight,0.05435107611438765
2005-09-08,equal_weight,0.05127810281334977
2005-09-09,equal_weight,0.05627969364141673
2005-09-12,equal_weight,0.04934459480057723
2005-09-13,equal_weight,0.03919697617481712
2005-09-14,equal_weight,0.03941917575931291
2005-09-15,equal_weight,0.031862084723204155
2005-09-16,equal_weight,0.04409498588973506
2005-09-19,equal_weight,0.0350770071102802
2005-09-20,equal_weight,0.041968385385967304
2005-09-21,equal_weight,0.025890775657930375
2005-09-22,equal_weight,0.0264313114073083
2005-09-23,equal_weight,0.0243753066427308
2005-09-26,equal_weight,0.04222091831865198
2005-09-27,equal_weight,0.03231867768147326
2005-09-28,equal_weight,0.05525404310422866
2005-09-29,equal_weight,0.05788225905548086
2005-09-30,equal_weight,0.055475271076840665
2005-10-03,equal_weight,0.05547826925325594
2005-10-04,equal_weight,0.05016957247292929
2005-10-05,equal_weight,0.04155495726799877
2005-10-06,equal_weight,0.03879399793205708
2005-10-07,equal_weight,0.03730810885636694
2005-10-10,equal_weight,0.03379420271004123
2005-10-11,equal_weight,0.034812138504399036
2005-10-12,equal_weight,0.029157619093616763
2005-10-13,equal_weight,0.02549048657310284
2005-10-14,equal_weight,0.03660127515789294
2005-10-17,equal_weight,0.026066765627059344
2005-10-18,equal_weight,0.016409919752768867
2005-10-19,equal_weight,0.012755598308549564
2005-10-20,equal_weight,0.018491621073148678
2005-10-21,equal_weight,0.017077646664398913
2005-10-24,equal_weight,0.03533096619114142
2005-10-25,equal_weight,0.040797594768917374
2005-10-26,equal_weight,0.04649092108014329
2005-10-27,equal_weight,0.041883409834512345
2005-10-28,equal_weight,0.04321155404308121
2005-10-31,equal_weight,0.06028066846536014
2005-11-01,equal_weight,0.06826803949193648
2005-11-02,equal_weight,0.08200136313590103
2005-11-03,equal_weight,0.08683907542183639
2005-11-04,equal_weight,0.0789468404812493
2005-11-07,equal_weight,0.083253154052583
2005-11-08,equal_weight,0.07954702578687847
2005-11-09,equal_weight,0.07722024569108203
2005-11-10,equal_weight,0.08504394364613578
2005-11-11,equal_weight,0.10192857388498382
2005-11-14,equal_weight,0.09655870943270453
2005-11-15,equal_weight,0.09312507237322869
2005-11-16,equal_weight,0.08764997885402809
2005-11-17,equal_weight,0.1015849221343901
2005-11-18,equal_weight,0.11064431683291462
2005-11-21,equal_weight,0.11200449204751017
2005-11-22,equal_weight,0.11636124113669093
2005-11-23,equal_weight,0.12393763140012225
2005-11-24,equal_weight,0.11901199344552413
2005-11-25,equal_weight,0.12107272861023634
2005-11-28,equal_weight,0.1223107232642958
2005-11-29,equal_weight,0.11678948031986987
2005-11-30,equal_weight,0.10718163211599013
2005-12-01,equal_weight,0.1170437328245842
2005-12-02,equal_weight,0.11955400728202369
2005-12-05,equal_weight,0.12111564929768465
2005-12-06,equal_weight,0.12660164633980864
2005-12-07,equal_weight,0.11837280874186488
2005-12-08,equal_weight,0.12818712124112686
2005-12-09,equal_weight,0.12247514610067896
2005-12-12,equal_weight,0.13815741937635104
2005-12-13,equal_weight,0.14045311551842238
2005-12-14,equal_weight,0.14219107571448636
2005-12-15,equal_weight,0.1386309921148859
2005-12-16,equal_weight,0.15143777585149865
2005-12-19,equal_weight,0.14884817160357608
2005-12-20,equal_weight,0.14672930293012862
2005-12-21,equal_weight,0.15868851805256592
2005-12-22,equal_weight,0.17077747266775023
2005-12-23,equal_weight,0.17606995752162002
2005-12-26,equal_weight,0.17047244952551233
2005-12-27,equal_weight,0.17367439057929593
2005-12-28,equal_weight,0.16838126265038145
2005-12-29,equal_weight,0.17179026929499494
2005-12-30,equal_weight,0.1659291214193154
2006-01-02,equal_weight,0.17111263065662422
2006-01-03,equal_weight,0.19063414678060375
2006-01-04,equal_weight,0.19860327412676315
2006-01-05,equal_weight,0.1919127118574749
2006-01-06,equal_weight,0.21026356033196414
2006-01-09,equal_weight,0.21063745487792204
2006-01-10,equal_weight,0.20430065137553433
2006-01-11,equal_weight,0.21534110459573272
2006-01-12,equal_weight,0.21039955023519333
2006-01-13,equal_weight,0.20817060318362285
2006-01-16,equal_weight,0.20734348430590094
2006-01-17,equal_weight,0.19532219415194374
2006-01-18,equal_weight,0.17477874073735664
2006-01-19,equal_weight,0.17614801631788912
2006-01-20,equal_weight,0.16456666431083805
2006-01-23,equal_weight,0.17401953208268603
2006-01-24,equal_weight,0.16893830901409854
2006-01-25,equal_weight,0.18275031818955823
2006-01-26,equal_weight,0.19634362233865793
2006-01-27,equal_weight,0.20274631248014222
2006-01-30,equal_weight,0.19549436286846572
2006-01-31,equal_weight,0.19420809510384243
