Date,strategy,rolling_volatility
2005-01-03,equal_weight,
2005-01-04,equal_weight,
2005-01-05,equal_weight,
2005-01-06,equal_weight,
2005-01-07,equal_weight,
2005-01-10,equal_weight,
2005-01-11,equal_weight,
2005-01-12,equal_weight,
2005-01-13,equal_weight,
2005-01-14,equal_weight,
2005-01-17,equal_weight,
2005-01-18,equal_weight,
2005-01-19,equal_weight,
2005-01-20,equal_weight,
2005-01-21,equal_weight,
2005-01-24,equal_weight,
2005-01-25,equal_weight,
2005-01-26,equal_weight,
2005-01-27,equal_weight,
2005-01-28,equal_weight,
2005-01-31,equal_weight,
2005-02-01,equal_weight,
2005-02-02,equal_weight,
2005-02-03,equal_weight,
2005-02-04,equal_weight,
2005-02-07,equal_weight,
2005-02-08,equal_weight,
2005-02-09,equal_weight,
2005-02-10,equal_weight,
2005-02-11,equal_weight,
2005-02-14,equal_weight,
2005-02-15,equal_weight,
2005-02-16,equal_weight,
2005-02-17,equal_weight,
2005-02-18,equal_weight,
2005-02-21,equal_weight,
2005-02-22,equal_weight,
2005-02-23,equal_weight,
2005-02-24,equal_weight,
2005-02-25,equal_weight,
2005-02-28,equal_weight,
2005-03-01,equal_weight,
2005-03-02,equal_weight,
2005-03-03,equal_weight,
2005-03-04,equal_weight,
2005-03-07,equal_weight,
2005-03-08,equal_weight,
2005-03-09,equal_weight,
2005-03-10,equal_weight,
2005-03-11,equal_weight,
2005-03-14,equal_weight,
2005-03-15,equal_weight,
2005-03-16,equal_weight,
2005-03-17,equal_weight,
2005-03-18,equal_weight,
2005-03-21,equal_weight,
2005-03-22,equal_weight,
2005-03-23,equal_weight,
2005-03-24,equal_weight,
2005-03-25,equal_weight,
2005-03-28,equal_weight,
2005-03-29,equal_weight,
2005-03-30,equal_weight,
2005-03-31,equal_weight,
2005-04-01,equal_weight,
2005-04-04,equal_weight,
2005-04-05,equal_weight,
2005-04-06,equal_weight,
2005-04-07,equal_weight,
2005-04-08,equal_weight,
2005-04-11,equal_weight,
2005-04-12,equal_weight,
2005-04-13,equal_weight,
2005-04-14,equal_weight,
2005-04-15,equal_weight,
2005-04-18,equal_weight,
2005-04-19,equal_weight,
2005-04-20,equal_weight,
2005-04-21,equal_weight,
2005-04-22,equal_weight,
2005-04-25,equal_weight,
2005-04-26,equal_weight,
2005-04-27,equal_weight,
2005-04-28,equal_weight,
2005-04-29,equal_weight,
2005-05-02,equal_weight,
2005-05-03,equal_weight,
2005-05-04,equal_weight,
2005-05-05,equal_weight,
2005-05-06,equal_weight,
2005-05-09,equal_weight,
2005-05-10,equal_weight,
2005-05-11,equal_weight,
2005-05-12,equal_weight,
2005-05-13,equal_weight,
2005-05-16,equal_weight,
2005-05-17,equal_weight,
2005-05-18,equal_weight,
2005-05-19,equal_weight,
2005-05-20,equal_weight,
2005-05-23,equal_weight,
2005-05-24,equal_weight,
2005-05-25,equal_weight,
2005-05-26,equal_weight,
2005-05-27,equal_weight,
2005-05-30,equal_weight,
2005-05-31,equal_weight,
2005-06-01,equal_weight,
2005-06-02,equal_weight,
2005-06-03,equal_weight,
2005-06-06,equal_weight,
2005-06-07,equal_weight,
2005-06-08,equal_weight,
2005-06-09,equal_weight,
2005-06-10,equal_weight,
2005-06-13,equal_weight,
2005-06-14,equal_weight,
2005-06-15,equal_weight,
2005-06-16,equal_weight,
2005-06-17,equal_weight,
2005-06-20,equal_weight,
2005-06-21,equal_weight,
2005-06-22,equal_weight,
2005-06-23,equal_weight,
2005-06-24,equal_weight,
2005-06-27,equal_weight,0.09565461917576781
2005-06-28,equal_weight,0.0953392287624325
2005-06-29,equal_weight,0.09512377726555826
2005-06-30,equal_weight,0.09499661914255006
2005-07-01,equal_weight,0.0946722880555484
2005-07-04,equal_weight,0.09436396954978267
2005-07-05,equal_weight,0.09406579536383067
2005-07-06,equal_weight,0.09373308468190993
2005-07-07,equal_weight,0.09445617910857303
2005-07-08,equal_weight,0.09550618285210893
2005-07-11,equal_weight,0.09713184842301859
2005-07-12,equal_weight,0.0974584505024633
2005-07-13,equal_weight,0.09715014940087292
2005-07-14,equal_weight,0.09734577693500887
2005-07-15,equal_weight,0.09703443504322955
2005-07-18,equal_weight,0.09692676764646722
2005-07-19,equal_weight,0.09659390599056608
2005-07-20,equal_weight,0.09647907048162557
2005-07-21,equal_weight,0.09643322773380947
2005-07-22,equal_weight,0.09631953363783805
2005-07-25,equal_weight,0.09603762896333297
2005-07-26,equal_weight,0.09576262042152006
2005-07-27,equal_weight,0.09553847028019642
2005-07-28,equal_weight,0.09554643697674131
2005-07-29,equal_weight,0.09557909417125712
2005-08-01,equal_weight,0.09546927089726095
2005-08-02,equal_weight,0.09579020606541652
2005-08-03,equal_weight,0.09615455241547945
2005-08-04,equal_weight,0.09619114714835529
2005-08-05,equal_weight,0.09607334476209917
2005-08-08,equal_weight,0.09580884544285348
2005-08-09,equal_weight,0.09602169990511716
2005-08-10,equal_weight,0.09705654596806432
2005-08-11,equal_weight,0.09705730534487787
2005-08-12,equal_weight,0.09680715385449698
2005-08-15,equal_weight,0.09719285680309597
2005-08-16,equal_weight,0.09837784503070254
2005-08-17,equal_weight,0.09831831678770178
2005-08-18,equal_weight,0.09835159210332912
2005-08-19,equal_weight,0.09845290598469139
2005-08-22,equal_weight,0.09871867815063695
2005-08-23,equal_weight,0.09896868392663154
2005-08-24,equal_weight,0.09871905546915619
2005-08-25,equal_weight,0.09859169615329416
2005-08-26,equal_weight,0.09875937013137247
2005-08-29,equal_weight,0.09846847327146853
2005-08-30,equal_weight,0.098237697345055
2005-08-31,equal_weight,0.09913307359918841
2005-09-01,equal_weight,0.10005156437775796
2005-09-02,equal_weight,0.09977705324204236
2005-09-05,equal_weight,0.0998241140440886
2005-09-06,equal_weight,0.09997313509706315
2005-09-07,equal_weight,0.09971436073552319
2005-09-08,equal_weight,0.09946759317060397
2005-09-09,equal_weight,0.09927939343838918
2005-09-12,equal_weight,0.09917754306129778
2005-09-13,equal_weight,0.09927845543353554
2005-09-14,equal_weight,0.09900551781495333
2005-09-15,equal_weight,0.09894558252753842
2005-09-16,equal_weight,0.09923143727104981
2005-09-19,equal_weight,0.0992656868627347
2005-09-20,equal_weight,0.09917631390576331
2005-09-21,equal_weight,0.09988084912775906
2005-09-22,equal_weight,0.09961595428456332
2005-09-23,equal_weight,0.09936810883498441
2005-09-26,equal_weight,0.10031664577945809
2005-09-27,equal_weight,0.1004263381760186
2005-09-28,equal_weight,0.10215573383647791
2005-09-29,equal_weight,0.10191682970766584
2005-09-30,equal_weight,0.10167586670119677
2005-10-03,equal_weight,0.10141482428517477
2005-10-04,equal_weight,0.10126462184089872
2005-10-05,equal_weight,0.10129550497215419
2005-10-06,equal_weight,0.10106916878049328
2005-10-07,equal_weight,0.10082359649782695
2005-10-10,equal_weight,0.10062017319072147
2005-10-11,equal_weight,0.10037369977871552
2005-10-12,equal_weight,0.10025348107928907
2005-10-13,equal_weight,0.1000606600858041
2005-10-14,equal_weight,0.10031690729276813
2005-10-17,equal_weight,0.10052417679525275
2005-10-18,equal_weight,0.10066110589466563
2005-10-19,equal_weight,0.1004725365618259
2005-10-20,equal_weight,0.10036675733930196
2005-10-21,equal_weight,0.10013467723183564
2005-10-24,equal_weight,0.10128268067736595
2005-10-25,equal_weight,0.10116671865394865
2005-10-26,equal_weight,0.10106347297913693
2005-10-27,equal_weight,0.10091531734695251
2005-10-28,equal_weight,0.1006867316154337
2005-10-31,equal_weight,0.101687746822055
2005-11-01,equal_weight,0.10172247977080415
2005-11-02,equal_weight,0.10228849550540152
2005-11-03,equal_weight,0.10215321783178755
2005-11-04,equal_weight,0.10218614435516837
2005-11-07,equal_weight,0.10203336470891865
2005-11-08,equal_weight,0.10186167095209185
2005-11-09,equal_weight,0.10165556083199129
2005-11-10,equal_weight,0.10169524084590353
2005-11-11,equal_weight,0.1027146436398997
2005-11-14,equal_weight,0.10261222229041428
2005-11-15,equal_weight,0.10243680351994408
2005-11-16,equal_weight,0.10234351205592236
2005-11-17,equal_weight,0.10297919515934265
2005-11-18,equal_weight,0.10311795866559735
2005-11-21,equal_weight,0.1029017857256837
2005-11-22,equal_weight,0.10276387232430231
2005-11-23,equal_weight,0.10280062361601244
2005-11-24,equal_weight,0.10268953717306846
2005-11-25,equal_weight,0.10248920182121433
2005-11-28,equal_weight,0.10227792422222173
2005-11-29,equal_weight,0.10220136037767538
2005-11-30,equal_weight,0.10241205108385813
2005-12-01,equal_weight,0.10264698542937066
2005-12-02,equal_weight,0.10246130808470924
2005-12-05,equal_weight,0.102259028595712
2005-12-06,equal_weight,0.1021881653474286
2005-12-07,equal_weight,0.1022964615998792
2005-12-08,equal_weight,0.10254152781628825
2005-12-09,equal_weight,0.10248605754887699
2005-12-12,equal_weight,0.10344370031622814
2005-12-13,equal_weight,0.10325825108701893
2005-12-14,equal_weight,0.10306343632997367
2005-12-15,equal_weight,0.10291629747026745
2005-12-16,equal_weight,0.10349849802095004
2005-12-19,equal_weight,0.10332362157354398
2005-12-20,equal_weight,0.10313935925839916
2005-12-21,equal_weight,0.10275645737616848
2005-12-22,equal_weight,0.1023630748742749
2005-12-23,equal_weight,0.10217640471738
2005-12-26,equal_weight,0.10175108712300816
2005-12-27,equal_weight,0.10143645802082266
2005-12-28,equal_weight,0.10149912773437265
2005-12-29,equal_weight,0.10141272769422867
2005-12-30,equal_weight,0.10172439415453674
2006-01-02,equal_weight,0.10161606513350253
2006-01-03,equal_weight,0.10350210851591087
2006-01-04,equal_weight,0.10387290520075848
2006-01-05,equal_weight,0.10396239199602768
2006-01-06,equal_weight,0.10468389913148932
2006-01-09,equal_weight,0.10465651327914592
2006-01-10,equal_weight,0.10504162001064295
2006-01-11,equal_weight,0.10584254297261494
2006-01-12,equal_weight,0.10592044136477312
2006-01-13,equal_weight,0.10590971643460849
2006-01-16,equal_weight,0.10590954229044033
2006-01-17,equal_weight,0.10670581311600182
2006-01-18,equal_weight,0.10691962004715122
2006-01-19,equal_weight,0.10701186881229674
2006-01-20,equal_weight,0.10745499829327028
2006-01-23,equal_weight,0.1073390228903894
2006-01-24,equal_weight,0.10740385770246194
2006-01-25,equal_weight,0.10792723922049902
2006-01-26,equal_weight,0.10911100297412447
2006-01-27,equal_weight,0.10914673711531453
2006-01-30,equal_weight,0.10890606182740326
2006-01-31,equal_weight,0.10881298654368943
2006-02-01,equal_weight,0.10883828801031718
2006-02-02,equal_weight,0.10936334681759433
